"序号","图像存储名称","画作名称","作者姓名","作者出生年份","作者出生地","作者流派","创作年代","创作朝代","实际尺寸","收藏机构","分类","题材","画作流派","风格","色彩","构图","意境","笔法","墨法","绘画材料","颜料","印章","文化符号","文本生成","音乐情境生成","收集平台"
"4798","56（109）","华山图","王履","1332年","江苏昆山","明代文人画","未明确提及","明代","34.5x50.5cm","故宫博物院","山水画","山水画","明代文人画","写意，笔墨灵动，注重画面的意境与气势，作品气韵生动，雄浑磅礴","以墨色为主，辅以淡彩，色彩清新雅致，整体色调和谐统一","册页","清幽、宁静，传递出华山的自然之美与文人雅趣","灵动流畅，注重线条的勾勒与细节表现，可能结合点染法、皴法等","泼墨、淡墨、浓墨结合，体现墨色的层次感","纸本","水墨、淡彩（矿物颜料或植物染料）","未明确提及","未明确提及","","",""
"4799","56（110）","山水图","杜琼","1396年","江苏苏州","明代文人画","未明确提及","明代","纵122.4cm，横38.9cm。","故宫博物院","山水画","山水画","明代文人画","工细写实，笔法细腻，注重画面的意境与文人情趣，作品清新雅致，富有文人气息","以墨色为主，辅以淡彩，色彩清新雅致，整体色调和谐统一","立轴","清幽、宁静，传递出自然之美与文人雅趣","细腻工整，注重线条的勾勒与细节表现，可能结合点染法、皴法等","淡墨为主，浓墨为辅，层次分明，体现墨色的清润与雅致","纸本","水墨、淡彩（矿物颜料或植物染料）","未明确提及","题跋前钤白文“古心”、朱文“旌节名门”印，题跋后钤朱文“杜氏用嘉”、白文“东原耕者”、朱文“持敬观理”印。画面右下方有白文“陶情写意”印","","",""
"4800","56（111）","深翠轩图卷","文徵明","1470年","江苏苏州","明代文人画","未明确提及","明代","纵23.8cm , 横78.3cm","故宫博物院","山水画","山水画","明代文人画","工细写实，笔法细腻，注重画面的意境与文人情趣，作品清新雅致，富有文人气息","以墨色为主，辅以淡彩，色彩清新雅致，整体色调和谐统一","手卷","清幽、宁静，传递出自然之美与文人雅趣","细腻工整，注重线条的勾勒与细节表现，可能结合点染法、皴法等","淡墨为主，浓墨为辅，层次分明，体现墨色的清润与雅致","纸本","水墨、淡彩（矿物颜料或植物染料）","未明确提及","未明确提及","","",""
"4801","56（112）","仿江贯道溪山无尽图","王翚","1632年","江苏常熟","清代文人画","未明确提及","清代","纵169cm , 横46.3cm","故宫博物院","山水画","山水画","清代文人画","写意，笔墨灵动，注重画面的意境与气势，作品气韵生动，雄浑磅礴","以墨色为主，辅以淡彩，色彩清新雅致，整体色调和谐统一","立轴","清幽、宁静，传递出自然之美与文人雅趣","灵动流畅，注重线条的勾勒与细节表现，可能结合点染法、皴法等","泼墨、淡墨、浓墨结合，体现墨色的层次感","纸本","水墨、淡彩（矿物颜料或植物染料）","未明确提及","未明确提及","","",""
"4802","56（113）","岚容川色图","董其昌","1555年","上海松江","明代文人画","未明确提及","明代","纵138.8cm , 横53.3cm","故宫博物院","山水画","山水画","明代文人画","写意，笔墨灵动，注重画面的意境与气势，作品气韵生动，雄浑磅礴","以墨色为主，辅以淡彩，色彩清新雅致，整体色调和谐统一","立轴","清幽、宁静，传递出自然之美与文人雅趣","灵动流畅，注重线条的勾勒与细节表现，可能结合点染法、皴法等","泼墨、淡墨、浓墨结合，体现墨色的层次感","纸本","水墨、淡彩（矿物颜料或植物染料）","未明确提及","未明确提及","","",""
"4803","56（114）","金山龙游寺诗意","石涛","1642年","广西全州","清代文人画","未明确提及","清代","纵24.6cm , 横17.6cm","故宫博物院","山水画","山水画","清代文人画","写意，笔墨灵动，注重画面的意境与气韵，作品气韵生动，富有文人气息","以墨色为主，辅以淡彩，色彩清新雅致，整体色调和谐统一","册页","清幽、宁静，传递出自然之美与文人雅趣","灵动流畅，注重线条的勾勒与细节表现，可能结合点染法、皴法等","泼墨、淡墨、浓墨结合，体现墨色的层次感","纸本","水墨、淡彩（矿物颜料或植物染料）","未明确提及","未明确提及","","",""
"4804","56（115）","春泉小隐图","周臣","1450年","江苏苏州","明代文人画","未明确提及","明代","纵26.3cm , 横85.5cm","故宫博物院","山水画","山水画","明代文人画","工细写实，笔法细腻，注重画面的意境与文人情趣，作品清新雅致，富有文人气息","以墨色为主，辅以淡彩，色彩清新雅致，整体色调和谐统一","手卷","清幽、宁静，传递出自然之美与文人雅趣","细腻工整，注重线条的勾勒与细节表现，可能结合点染法、皴法等","淡墨为主，浓墨为辅，层次分明，体现墨色的清润与雅致","纸本","水墨、淡彩（矿物颜料或植物染料）","未明确提及","钤“静远斋”印","","",""
"4805","56（116）","秋林垂钓图","朱德润","1294年","山东沂南","元代文人画","未明确提及","元代","纵28.1cm , 横26.6cm","故宫博物院","山水画","山水画","元代文人画","工细写实，笔法细腻，注重画面的意境与文人情趣，作品清新雅致，富有文人气息","以墨色为主，辅以淡彩，色彩清新雅致，整体色调和谐统一","册页","清幽、宁静，传递出自然之美与文人雅趣","细腻工整，注重线条的勾勒与细节表现，可能结合点染法、皴法等","淡墨为主，浓墨为辅，层次分明，体现墨色的清润与雅致","纸本","水墨、淡彩（矿物颜料或植物染料）","未明确提及","未明确提及","","",""
"4806","56（117）","泉声松色","吴历","1632年","江苏常熟","清代文人画","未明确提及","清代","纵64.6cm , 横38cm","故宫博物院","山水画","山水画","清代文人画","写意，笔墨灵动，注重画面的意境与气势，作品气韵生动，雄浑磅礴","以墨色为主，辅以淡彩，色彩清新雅致，整体色调和谐统一","立轴","清幽、宁静，传递出自然之美与文人雅趣","灵动流畅，注重线条的勾勒与细节表现，可能结合点染法、皴法等","泼墨、淡墨、浓墨结合，体现墨色的层次感","纸本","水墨、淡彩（矿物颜料或植物染料）","未明确提及","未明确提及","","",""
"4807","56（118）","山水册","曹知白","1272年","浙江松江","元代文人画","未明确提及","元代","纵33.1cm , 横27.4cm","故宫博物院","山水画","山水画","元代文人画","写意，笔墨简练，注重意境与气韵，画面清幽淡远","以墨色为主，淡彩为辅，整体色调清新雅致","册页，画面布局简洁，留白较多，突出山水意境","清幽、宁静，体现文人对自然的向往与精神寄托","笔触简练，注重线条的勾勒与笔墨的韵味，可能结合皴法、点染法","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4808","56（119）","猗兰室图","文徵明","1470年","江苏苏州","明代文人画","未明确提及","明代","纵67cm , 横26.3cm","故宫博物院","山水画","山水画","明代文人画","写意，笔墨清新，注重意境与文人情趣，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新雅致","手卷，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然与生活的热爱","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味","以淡墨为主，辅以浓墨，体现墨色层次感","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4809","56（120）","黄山图","梅清","1623年","安徽宣城","清代文人画","未明确提及","清代","纵33cm , 横26cm","故宫博物院","山水画","山水画","清代文人画","写意，笔墨灵动，注重意境与气韵，画面清幽淡远","以墨色为主，辅以淡彩，整体色调清新雅致","册页，画面布局简洁，留白较多，突出山水意境","清幽、宁静，体现文人对自然的向往与精神寄托","笔触简练，注重线条的勾勒与笔墨的韵味，可能结合皴法、点染法","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4810","56（121）","关山箫寺图","（传）王蒙","未明确提及","未明确提及","元代文人画","未明确提及","元代","","故宫博物院","山水画","山水画","元代文人画","写意，笔墨厚重，注重画面的层次感与意境营造","以墨色为主，辅以淡彩，整体色调沉稳雅致","立轴，画面布局严谨，山峦层叠，寺庙隐现，富有层次感","宁静、深远，表现出山林的幽静与寺庙的清幽","笔触厚重，线条苍劲有力，可能结合皴法、点染法等","以浓墨为主，辅以淡墨，体现墨色的层次感与厚重感","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4811","56（122）","横塘图页","文徵明","1470年","江苏苏州","明代文人画","未明确提及","明代","纵32.6cm , 横23.2cm","故宫博物院","山水画","山水画","明代文人画","写意，笔墨清新，注重意境与文人情趣，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新雅致","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然与生活的热爱","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味","以淡墨为主，辅以浓墨，体现墨色层次感","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4812","56（123）","越来溪图","唐寅","1470年","江苏苏州","明代吴门画派","未明确提及","明代","纵31cm , 横23cm","故宫博物院","山水画","山水画","明代吴门画派","写意，笔墨灵动，注重画面的意境与文人情趣，画面清新雅致","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4813","56（124）","新郭图页","沈周","1427年","江苏苏州","明代吴门画派","未明确提及","明代","纵31cm , 横23cm","故宫博物院","山水画","山水画","明代吴门画派","写意，笔墨厚重，注重画面的意境与气势，作品气韵生动，雄浑雅致","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触厚重，线条苍劲有力，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4814","56（125）","茶磨屿图","沈周","1427年","江苏苏州","明代吴门画派","未明确提及","明代","纵30.8cm , 横23cm","故宫博物院","山水画","山水画","明代吴门画派","写意，笔墨厚重，注重画面的意境与气势，作品气韵生动，雄浑雅致","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触厚重，线条苍劲有力，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4815","56（126）","紫薇村","陈道復","1483年","江苏苏州","明代吴门画派","未明确提及","明代","纵30.6cm , 横23cm","故宫博物院","山水画","山水画","明代吴门画派","写意，笔墨清新，注重画面的意境与文人情趣，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4816","56（127）","桃花坞页","陈道復","1483年","江苏苏州","明代吴门画派","未明确提及","明代","纵30.8cm , 横23.2cm","故宫博物院","山水画","山水画","明代吴门画派","写意，笔墨清新，注重画面的意境与文人情趣，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4817","56（128）","石湖图页","文徵明","1470年","江苏苏州","明代吴门画派","未明确提及","明代","纵22.8cm , 横33.2cm","故宫博物院","山水画","山水画","明代吴门画派","写意，笔墨清新，注重画面的意境与文人情趣，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4818","56（129）","山水册","石涛","1642年","未明确提及","清代绘画","未明确提及","清代","纵33.2cm , 横22.8cm","故宫博物院","山水画","山水画","清代绘画","笔墨灵动，构图新颖，注重意境与情感表达，风格独特","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现画家对自然的独特理解和情感寄托","笔触灵动，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4819","56（130）","仿巨然烟浮远岫图","王翚","1632年","江苏常熟","清代“四王”画派","未明确提及","清代","纵187.5cm , 横68cm","故宫博物院","山水画","山水画","清代“四王”画派","笔墨细腻，构图严谨，注重传统技法的继承与创新，画面清幽淡远","以墨色为主，辅以淡彩，整体色调清新自然","立轴，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现画家对传统山水画的深刻理解和创新表达","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","下钤“王翚之印”白文印、“石谷”白文印。另收藏印三方：“王藻儒考藏图书”白文印、“愉庭吴云审定”白文印、“陆朴埜娱老”朱文印。裱边钤藏印四方：“阁鉴藏”朱文印、“夫容江馆”朱文印、“愉庭吴云审定”白文印、“白云私印”白文印。又裱下端有李瑞清书牍","","",""
"4820","56（131）","仿吴镇山水图","王原祁","1642年","江苏太仓","清代“四王”画派","未明确提及","清代","纵141.7cm , 横51cm","故宫博物院","山水画","山水画","清代“四王”画派","笔墨细腻，构图严谨，注重传统技法的继承与创新，画面清幽淡远","以墨色为主，辅以淡彩，整体色调清新自然","立轴，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现画家对传统山水画的深刻理解和创新表达","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","钤“王原祁印”白文印，“茂京文”白朱文印，“扫华庵”朱文印。右下角钤“西庐后人”朱文印。","","",""
"4821","56（132）","沛台实景图","唐寅","1470年","江苏苏州","明代吴门画派","未明确提及","明代","纵26.2cm , 横23.9cm","故宫博物院","山水画","山水画","明代吴门画派","写意，笔墨清新，注重画面的意境与文人情趣，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","钤“唐居士”。另有安岐、吴璵等人收藏印记。","","",""
"4822","56（133）","东山丝竹图","佚名","未明确提及","未明确提及","未明确提及","未明确提及","元","纵188.5cm，横103.3cm","故宫博物院","山水画","未明确提及","未明确提及","未明确提及","设色","未明确提及","未明确提及","未明确提及","未明确提及","绢本","未明确提及","未明确提及","上部钤“嘉庆鉴赏”、“三希堂精鉴玺”、“宜子孙”、“嘉庆御览之宝”、“宣统御览之宝”、“石渠宝笈”、“宝笈三编”等印9方","","",""
"4823","56（134）","松溪仙馆图","王原祁","1642年","江苏太仓","清代“四王”画派","未明确提及","清代","纵118.5cm , 横54.4cm","故宫博物院","山水画","山水画","清代“四王”画派","笔墨细腻，构图严谨，注重传统技法的继承与创新，画面清幽淡远","以墨色为主，辅以淡彩，整体色调清新自然","立轴，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现画家对传统山水画的深刻理解和创新表达","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","钤“乾隆御览之宝”等收藏印章诸方","","",""
"4824","56（135）","山水册","文徵明","1470年","江苏苏州","明代吴门画派","未明确提及","明代","纵28.5cm , 横15.7cm","故宫博物院","山水画","山水画","明代吴门画派","写意，笔墨清新，注重画面的意境与文人情趣，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4825","56（136）","梦境图","王鉴","1598年","江苏太仓","清代“四王”画派","未明确提及","清代","纵91.8cm , 横49.5cm","故宫博物院","山水画","山水画","清代“四王”画派","笔墨细腻，构图严谨，注重传统技法的继承与创新，画面清幽淡远","以墨色为主，辅以淡彩，整体色调清新自然","立轴，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现画家对传统山水画的深刻理解和创新表达","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4826","56（137）","幽居图","钱选","1235年","浙江吴兴","元代文人画","未明确提及","元代","纵27cm , 横115.9cm","故宫博物院","山水画","山水画","元代文人画","写意，笔墨清新，注重意境与气韵，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新自然","手卷，画面布局疏朗，注重空间感与节奏感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4827","56（138）","空山结屋图","查士标","1615年","安徽休宁","清代绘画","未明确提及","清代","纵98.7cm，横53.3cm","故宫博物院","山水画","山水画","清代绘画","笔墨灵动，构图清新，注重意境与气韵，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新自然","立轴，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触灵动，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","钤 士標 、 二瞻 二印。鑒藏印： 某景書屋 、 吳湖颿潘靜淑珍藏印 、 孫邦瑞珍藏印 、 梅景書屋秘笈 、 銘心絕品 、 丙戌小千 。吴湖帆、葛有憙等裱边题记","","",""
"4828","56（139）","卢鸿草堂十志图","王原祁","1642年","江苏太仓","清代“四王”画派","未明确提及","清代","纵29cm , 横29.5cm","故宫博物院","山水画","山水画","清代“四王”画派","笔墨细腻，构图严谨，注重传统技法的继承与创新，画面清幽淡远","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现画家对传统山水画的深刻理解和创新表达","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4829","56（140）","幽涧寒松图","倪瓒","1301年","江苏无锡","元代文人画","未明确提及","元代","纵59.7cm , 横50.4cm","故宫博物院","山水画","山水画","元代文人画","写意，笔墨简练，注重意境与气韵，画面清幽淡远","以墨色为主，整体色调清新自然","立轴，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触简练，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨","未明确提及","未明确提及","","",""
"4830","56（141）","后赤壁图","赵构","1107年","未明确提及","南宋皇家画派","未明确提及","南宋","纵25.9cm , 横143cm","故宫博物院","山水画","书法、绘画（书画合璧）","南宋皇家画派","笔法稳健，布局严谨，具有皇家气派和文人情趣","未明确提及","手卷，画面布局疏朗，注重整体感与节奏感","未明确提及","未明确提及","未明确提及","纸本","未明确提及","未明确提及","未明确提及","","",""
"4831","56（142）","杜甫诗意图","王时敏","1592年","江苏太仓","清代“四王”画派","未明确提及","清代","纵39cm , 横25.5cm","故宫博物院","山水画","山水画","清代“四王”画派","笔墨细腻，构图严谨，注重传统技法的继承与创新，画面清幽淡远","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现画家对传统山水画的深刻理解和创新表达","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4832","56（143）","山水册","董其昌","1555年","上海松江","明代文人画","未明确提及","明代","纵26.4cm , 横16cm","故宫博物院","山水画","山水画","明代文人画","笔墨灵动，注重意境与气韵，画面清幽淡远，具有文人情趣","以墨色为主，辅以淡彩，整体色调清新自然","册页，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触灵动，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","藏印：“□□田舍”、“竹窗”、“简静斋”、“□耕澹□”、“竹窗”、“苑西”、“顾子山秘匧印”、“江邨秘藏”、“□□堂春水长廊”、“清吟堂”。","","",""
"4833","56（144）","横山晴霭图","吴历","1632年","江苏常熟","清代文人画","未明确提及","清代","纵22.8cm , 横157.3cm","故宫博物院","山水画","山水画","清代文人画","笔墨灵动，注重意境与气韵，画面清幽淡远，具有文人情趣","以墨色为主，辅以淡彩，整体色调清新自然","手卷，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触灵动，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4834","56（145）","竹溪松岩图","王原祁","1642年","江苏太仓","清代“四王”画派","未明确提及","清代","纵26.8cm , 横471.7cm","故宫博物院","山水画","山水画","清代“四王”画派","笔墨细腻，构图严谨，注重传统技法的继承与创新，画面清幽淡远","以墨色为主，辅以淡彩，整体色调清新自然","手卷，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现画家对传统山水画的深刻理解和创新表达","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4835","56（146）","横塘曳履图","石涛","1642年","未明确提及","清代绘画","未明确提及","清代","纵44.2cm , 横131.4cm","故宫博物院","山水画","山水画","清代绘画","笔墨灵动，构图新颖，注重意境与情感表达，风格独特","以墨色为主，辅以淡彩，整体色调清新自然","立轴，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现画家对自然的独特理解和情感寄托","笔触灵动，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","钤“清湘老人”、“老涛”朱文印，“膏盲子济”白文印。鉴藏印有：“孙煜峰珍藏印”等共8方。","","",""
"4836","56（147）","松壑鸣琴图","吴历","1632年","江苏常熟","清代文人画","未明确提及","清代","纵103cm , 横50.5cm","故宫博物院","山水画","山水画","清代文人画","笔墨灵动，注重意境与气韵，画面清幽淡远，具有文人情趣","以墨色为主，辅以淡彩，整体色调清新自然","立轴，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触灵动，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","下钤“吳歷”、“家在桃溪深處”二印。","","",""
"4837","56（148）","江山秋色图","赵伯驹","未明确提及","未明确提及","南宋绘画","未明确提及","南宋","纵55.6cm , 横323.2cm","故宫博物院","山水画","山水画","南宋绘画","工笔重彩，画面细腻，色彩鲜艳，注重细节表现，具有较高的装饰性和写实性","以重彩为主，色彩丰富，对比鲜明，整体色调华丽典雅","手卷，画面布局严谨，山峦层叠，江水蜿蜒，富有层次感和节奏感","繁华热闹，描绘了江山的壮丽与秋日的宁静，展现了自然与人文的和谐","工笔细腻，线条流畅，注重细节勾勒，可能结合点染法、皴法等","以淡墨为主，用于勾勒轮廓和渲染背景，增强画面层次感","绢本","重彩（矿物颜料）","未明确提及","清内府“乾隆御览之宝”、“石渠宝笈”等","","",""
"4838","56（149）","桃村草堂图","仇英","1509年","江苏太仓","明代绘画","未明确提及","明代","纵53cm , 横150cm","故宫博物院","山水画","山水画","明代绘画","工笔重彩，画面细腻，色彩鲜艳，注重细节表现，具有较高的装饰性和写实性","以重彩为主，色彩丰富，对比鲜明，整体色调华丽典雅","立轴，画面布局严谨，山峦层叠，草堂隐现，富有层次感","清幽、宁静，描绘了桃村草堂的宁静与自然之美，体现文人雅趣","工笔细腻，线条流畅，注重细节勾勒，可能结合点染法、皴法等","以淡墨为主，用于勾勒轮廓和渲染背景，增强画面层次感","绢本","重彩（矿物颜料）","未明确提及","钤“十洲”朱文葫芦形印；鉴藏印钤“阿尔喜普之印”、“东平”、“归云精舍”、“乾隆御览之宝”及项元汴、耿昭忠、耿嘉祚、索额图、梁清标等诸家鉴藏印多方。","","",""
"4839","56（150）","莲溪渔隐图","仇英","1509年","江苏太仓","明代绘画","未明确提及","明代","纵126.5厘米，横66.3厘米","故宫博物院","山水画","山水画","明代绘画","工笔重彩，画面细腻，色彩鲜艳，注重细节表现，具有较高的装饰性和写实性","以重彩为主，色彩丰富，对比鲜明，整体色调华丽典雅","立轴，画面布局严谨，山峦层叠，溪流蜿蜒，富有层次感","清幽、宁静，描绘了莲溪边渔隐生活的宁静与自然之美，体现文人雅趣","工笔细腻，线条流畅，注重细节勾勒，可能结合点染法、皴法等","以淡墨为主，用于勾勒轮廓和渲染背景，增强画面层次感","绢本","重彩（矿物颜料）","未明确提及","钤“实父”、“仇英”2印","","",""
"4840","56（151）","临溪幽赏","文徵明","1470年","江苏苏州","明代吴门画派","未明确提及","明代","纵127.3cm , 横50cm","故宫博物院","山水画","山水画","明代吴门画派","写意，笔墨清新，注重画面的意境与文人情趣，画面雅致清幽","以墨色为主，辅以淡彩，整体色调清新自然","立轴，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触细腻，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4841","56（152）","夏山高隐图","王蒙","1308年","浙江湖州","元代绘画","未明确提及","元代","纵149厘米，横63.5厘米","故宫博物院","山水画","山水画","元代绘画","笔墨厚重，构图繁密，注重山石的质感与层次感，画面雄浑而富有气势","以墨色为主，辅以淡彩，整体色调清新自然","立轴，画面布局严谨，山峦层叠，树木繁茂，富有层次感","清幽、宁静，体现文人对自然的向往与精神寄托","笔触厚重，线条苍劲有力，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以浓墨为主，辅以淡墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","未明确提及","","",""
"4842","56（153）","搜尽奇峰图","石涛","1642年","未明确提及","清代绘画","未明确提及","清代","纵42.8cm，横285.5cm","故宫博物院","山水画","山水画","清代绘画","笔墨灵动，构图新颖，注重意境与情感表达，风格独特","以墨色为主，辅以淡彩，整体色调清新自然","手卷，画面布局疏朗，注重空间感与层次感","清幽、宁静，体现画家对自然的独特理解和情感寄托","笔触灵动，线条流畅，注重细节勾勒与笔墨韵味，可能结合点染法、皴法等","以淡墨为主，辅以浓墨，体现墨色的层次感与变化","纸本","水墨、淡彩","未明确提及","钤“老涛”；钤“苦瓜和尚”、“冰雪悟前身”、“石涛”","","",""
